timestamp,date,actual,forecast,surpriseDelta,surpriseAbsDelta
1507908600,"2017-10-13T15:30:00.000Z",0.5,0.1,0.4,0.4
1518625800,"2018-02-14T16:30:00.000Z",0.5,0.1,0.4,0.4
1610555400,"2021-01-13T16:30:00.000Z",0.4,0,0.4,0.4
1636561800,"2021-11-10T16:30:00.000Z",0.9,0.5,0.4,0.4
1670949000,"2022-12-13T16:30:00.000Z",0.1,0.5,-0.4,0.4
1789140600,"2026-09-11T15:30:00.000Z",0.4,0,0.4,0.4
1586532600,"2020-04-10T15:30:00.000Z",-0.4,0.1,-0.5,0.5
1649777400,"2022-04-12T15:30:00.000Z",1.2,0.7,0.5,0.5
1657726200,"2022-07-13T15:30:00.000Z",1.3,0.8,0.5,0.5
1663083000,"2022-09-13T15:30:00.000Z",0.1,0.6,-0.5,0.5
1673541000,"2023-01-12T16:30:00.000Z",-0.1,0.4,-0.5,0.5
1744299000,"2025-04-10T15:30:00.000Z",-0.1,0.4,-0.5,0.5
1747150200,"2025-05-13T15:30:00.000Z",0.2,-0.3,0.5,0.5
1749655800,"2025-06-11T15:30:00.000Z",0.1,0.6,-0.5,0.5
1752593400,"2025-07-15T15:30:00.000Z",0.3,-0.3,0.6,0.6
1620833400,"2021-05-12T15:30:00.000Z",0.8,0.2,0.6000000000000001,0.6000000000000001
1646929800,"2022-03-10T16:30:00.000Z",0.8,0.2,0.6000000000000001,0.6000000000000001
1775835000,"2026-04-10T15:30:00.000Z",0.9,0.3,0.6000000000000001,0.6000000000000001
1589297400,"2020-05-12T15:30:00.000Z",-0.8,0,-0.8,0.8
1594740600,"2020-07-14T15:30:00.000Z",0.6,-0.2,0.8,0.8
1626190200,"2021-07-13T15:30:00.000Z",0.9,0.1,0.8,0.8
1660145400,"2022-08-10T15:30:00.000Z",0,0.9,-0.9,0.9
1784043000,"2026-07-14T15:30:00.000Z",-0.4,0.5,-0.9,0.9
1652283000,"2022-05-11T15:30:00.000Z",0.3,1.3,-1,1
